iter	Passed	Remaining
402	10761	2590
403	10789	2563
404	10819	2537
405	10848	2511
406	10880	2486
407	10908	2459
408	10940	2434
409	10968	2407
410	10998	2381
411	11028	2355
412	11058	2329
413	11089	2303
414	11120	2277
415	11147	2250
416	11175	2224
417	11205	2198
418	11236	2172
419	11266	2146
420	11294	2119
421	11322	2092
422	11350	2066
423	11381	2040
424	11410	2013
425	11440	1987
426	11484	1963
427	11513	1936
428	11542	1910
429	11574	1884
430	11605	1857
431	11634	1831
432	11663	1804
433	11691	1778
434	11720	1751
435	11747	1724
436	11775	1697
437	11803	1670
438	11830	1643
439	11858	1617
440	11884	1589
441	11912	1563
442	11938	1536
443	11965	1509
444	11993	1482
445	12023	1455
446	12052	1428
447	12078	1401
448	12106	1375
449	12144	1349
450	12177	1323
451	12209	1296
452	12239	1269
453	12268	1243
454	12299	1216
455	12329	1189
456	12359	1162
457	12386	1135
458	12415	1109
459	12443	1082
460	12476	1055
461	12503	1028
462	12529	1001
463	12562	974
464	12590	947
465	12617	920
466	12644	893
467	12671	866
468	12698	839
469	12725	812
470	12752	785
471	12778	758
472	12804	730
473	12829	703
474	12856	676
475	12887	649
476	12913	622
477	12942	595
478	12968	568
479	12995	541
480	13022	514
481	13048	487
482	13075	460
483	13103	433
484	13133	406
485	13164	379
486	13193	352
487	13223	325
488	13250	298
489	13277	270
490	13307	243
491	13338	216
492	13369	189
493	13399	162
494	13428	135
495	13459	108
496	13489	81
497	13516	54
498	13545	27
499	13574	0
