iter	Logloss
0	0.5870601352
1	0.4974227208
2	0.425179754
3	0.3600701796
4	0.3089770178
5	0.2720931896
66	0.236246638577	0.210319014
8	0.1898578124
9	0.1736507585
10	0.1599378744
11	0.1486859776
12	0.1398099182
13	0.1323436044
14	0.1261241715
15	0.1210778522
16	0.1166627323
17	0.1129336073118	0.1098302591919	0.1070198472020	0.1047179992121	0.1027667202222	0.1009592034223	0.09939470952224	0.09818923766225	0.09701055163
26	0.09601003959
27	0.0949199194
28	0.09413673964
29	0.0933627513
30	0.09271958154
31	0.09212324296
32	0.0914590336
33	0.09094683639
34	0.09051197564
35	0.09000774913
36	0.08956740122
37	0.08915161806
38	0.08882858008
39	0.08846367156
40	0.08817223076
41	0.08790682959
42	0.08765569085
43	0.08742385723
44	0.08720724331
45	0.08702994462
46	0.0868245305
47	0.08667419643
48	0.08650567249
49	0.08634928063
50	0.08619596597
51	0.08602500402
52	0.08587534797
53	0.08574119729
54	0.08559958873
55	0.08547381627
56	0.08535454979
57	0.08521801615
58	0.0850825956
59	0.08498080859
60	0.0848602485
61	0.08477230368
62	0.08465644364
63	0.08456182342
64	0.08445419496
65	0.08435568327
66	0.08427300747
67	0.08416761435
68	0.08409867595
69	0.08400221431
70	0.0839135155
71	0.08383599696
72	0.08373794353
73	0.08365263541
74	0.08354867561
75	0.08347241727
76	0.08337913601
77	0.08328765346
78	0.08322266567
79	0.08316267386
80	0.08308144581
81	0.08300610775
82	0.08293158949
83	0.08286282866
84	0.08279747663
85	0.08273762365
86	0.08266257834
87	0.08258573729
88	0.08251218607
89	0.08243879455
90	0.08235790218
91	0.0822887061
92	0.0822236177
93	0.0821572292
94	0.08207173388
95	0.08201868523
96	0.08195233333
97	0.08188877469
98	0.0818180331
99	0.08176508575
100	0.08169842092
101	0.08163230303
102	0.08156860516
103	0.08151087225
104	0.0814352153
105	0.08139050199
106	0.08133967832
107	0.08127560288
108	0.08123890221
109	0.08117586152
110	0.08110864122
111	0.0810536729
112	0.08100237293
113	0.08095404084
114	0.08088966634
115	0.08085961921
116	0.08079846993
117	0.08072951937
118	0.08064451731
119	0.08056833222
120	0.08051892995
121	0.08047403375
122	0.08040760216
123	0.0803510114
124	0.08030278172
125	0.08025366775
126	0.08021370427
127	0.0801558962
128	0.0800946572
12129	0.077973653413130	0.07793525567
131	0.07789486197
132	0.07783951681
133	0.0777761453
134	0.07772211815
135	0.07767418724
136	0.07762101892
137	0.07758326244
138	0.07752718262
139	0.07747788617
140	0.07741608372
141	0.07736109273
142	0.07732163833
143	0.07725509993
144	0.07718751123
145	0.0771392309
146	0.07708209745
147	0.07704324182
148	0.07701016834
149	0.07695734568
150	0.07689752927
151	0.07684219151
152	0.07676644852
153	0.07671087041
154	0.07667227746
155	0.07661950487
156	0.07658328918
157	0.07653176528
158	0.07646493961
159	0.07641711949
160	0.07637419934
161	0.07632048295
162	0.07627406033
163	0.07621144791
164	0.0761767538
165	0.07613154314
166	0.0760744255
167	0.0760319063
168	0.07598342541
169	0.07594379117
170	0.07590290248
171	0.07585131302
172	0.07579640539
173	0.07575765882
174	0.07570743076
175	0.07568553899
176	0.07564035298
177	0.07559105777
178	0.07553445143
179	0.07549420669
180	0.07542634997
181	0.07537127453
182	0.07533116557
183	0.07527705664
184	0.0752321542
185	0.07515983667
186	0.07511090228
187	0.07506998593
188	0.07504093551
189	0.0749952515
190	0.07494857065
191	0.07489209137
192	0.07483266766
193	0.07478484803
194	0.07473386484
195	0.0746963996
196	0.07464371227
197	0.07459668692
198	0.07454282886
199	0.0744816955
200	0.0744362142
201	0.07439235877
202	0.07435369459
203	0.07429266074
204	0.07424292649
205	0.07419588899
206	0.07414082853
207	0.07410908775
208	0.07406890568
209	0.07401557724
210	0.0739618134
211	0.07394348131
212	0.07390902473
213	0.07385791364
214	0.07380311819
215	0.07376635971
216	0.07372222299
217	0.07368652162
218	0.0736342499
219	0.07358695227
220	0.0735363559
221	0.07349604492
222	0.07345234127
223	0.07341703926
224	0.07336554627
225	0.07332416186
226	0.07327000471
227	0.07322979345
228	0.07317318336
229	0.07313575131
230	0.07310419472
231	0.07305250496
232	0.07300706203
233	0.07295494909
234	0.07291496905
235	0.07286908423
236	0.07281737644
237	0.07278164153
238	0.07274076874
239	0.07270867904
240	0.07264907929
241	0.07259973381
242	0.0725623043
243	0.07252086313
244	0.07249117709
245	0.07244182945
246	0.07240093561
247	0.07236518895
248	0.07233524389
249	0.07228677114
250	0.07224520062
251	0.07220467823
252	0.07213506151
253	0.0720887408
254	0.07202548423
255	0.0719802633
256	0.0719432571
257	0.07188543705
258	0.07184115988
259	0.07180275049
260	0.07176574402
261	0.07170227828
262	0.07165998725
263	0.0716058833
264	0.07155828106
265	0.07150930207
266	0.07145481267
267	0.07139904276
268	0.07134592561
269	0.07128651763
270	0.07122968224
271	0.07119191303
272	0.07114097876
273	0.07109246519
274	0.07106223166
275	0.07101291268
276	0.07097072035
277	0.07093017327
278	0.07088179857
279	0.07083555615
280	0.07079557509
281	0.0707635965
282	0.07071334598
283	0.070675678
284	0.07063121983
285	0.07057833333
286	0.07052063919
287	0.07046388757
288	0.07042423876
289	0.0703767314
290	0.07031824674
291	0.07028216017
292	0.0702445322
293	0.07019079072
294	0.07015468008
295	0.0701151201
296	0.07006857251
297	0.07003002135
298	0.06999973078
299	0.06995128831
20351923
